grantor,grantee,table_schema,table_name,privilege_type,is_grantable
supabase_auth_admin,postgres,auth,oauth_consents,UPDATE,NO
supabase_auth_admin,postgres,auth,one_time_tokens,DELETE,NO
supabase_auth_admin,postgres,auth,one_time_tokens,INSERT,NO
supabase_auth_admin,postgres,auth,one_time_tokens,REFERENCES,NO
supabase_auth_admin,postgres,auth,one_time_tokens,SELECT,YES
supabase_auth_admin,postgres,auth,one_time_tokens,TRIGGER,NO
supabase_auth_admin,postgres,auth,one_time_tokens,TRUNCATE,NO
supabase_auth_admin,postgres,auth,one_time_tokens,UPDATE,NO
supabase_auth_admin,postgres,auth,refresh_tokens,DELETE,NO
supabase_auth_admin,postgres,auth,refresh_tokens,INSERT,NO
supabase_auth_admin,postgres,auth,refresh_tokens,REFERENCES,NO
supabase_auth_admin,postgres,auth,refresh_tokens,SELECT,YES
supabase_auth_admin,postgres,auth,refresh_tokens,TRIGGER,NO
supabase_auth_admin,postgres,auth,refresh_tokens,TRUNCATE,NO
supabase_auth_admin,postgres,auth,refresh_tokens,UPDATE,NO
supabase_auth_admin,postgres,auth,saml_providers,DELETE,NO
supabase_auth_admin,postgres,auth,saml_providers,INSERT,NO
